Rep,Treatment,Time,FIL,Weight (g)
50/1_2,50,1,0,0.04
50/1_2,50,2,0,0.137
50/1_2,50,3,0,0.254
50/1_2,50,4,0,0.279
50/2_2,50,1,0,0.033
50/2_2,50,2,0,0.148
50/2_2,50,3,0,0.281
50/2_2,50,4,0,0.329
50/3_2,50,1,0,0.035
50/3_2,50,2,0,0.15
50/3_2,50,3,0,0.298
50/3_2,50,4,0,0.314
50/4_2,50,1,0,0.031
50/4_2,50,2,0,0.148
50/4_2,50,3,0,0.29
50/4_2,50,4,0,0.327
50/5_2,50,1,0,0.036
50/5_2,50,2,0,0.158
50/5_2,50,3,0,0.289
50/5_2,50,4,0,0.305
50/6_2,50,1,0,0.033
50/7_2,50,1,0,0.035
50/7_2,50,2,0,0.175
50/7_2,50,3,0,0.286
50/7_2,50,4,0,0.351
50/8_2,50,1,0,0.03
50/8_2,50,2,0,0.135
50/8_2,50,3,0,0.291
50/8_2,50,4,0,0.332
50/9_2,50,1,0,0.033
50/9_2,50,2,0,0.142
50/9_2,50,3,0,0.295
50/9_2,50,4,0,0.346
50/10_2,50,1,0,0.037
50/10_2,50,2,0,0.161
50/10_2,50,3,0,0.29
50/10_2,50,4,0,0.329
50/1_3,50,1,0,0.036
50/1_3,50,2,0,0.119
50/1_3,50,3,0,0.3051
50/2_3,50,1,1,0.0267
50/2_3,50,2,1,0.0467
50/3_3,50,1,0,0.0315
50/3_3,50,2,0,0.0957
50/3_3,50,3,0,0.2697
50/4_3,50,1,0,0.0318
50/4_3,50,2,0,0.0902
50/4_3,50,3,0,0.2809
50/5_3,50,1,1,0.0367
50/6_3,50,1,0,0.0253
50/6_3,50,2,0,0.0886
50/6_3,50,3,0,0.2483
50/7_3,50,1,0,0.03
50/7_3,50,2,0,0.0887
50/7_3,50,3,0,0.2789
50/8_3,50,1,0,0.0332
50/8_3,50,2,0,0.0923
50/8_3,50,3,0,0.2685
50/8_3,50,4,0,0.324
50/9_3,50,1,1,0.0278
50/10_3,50,1,0,0.0347
50/10_3,50,2,0,0.1023
50/10_3,50,3,0,0.277
50/10_3,50,4,0,0.283
50/1_4,50,1,1,0.0225
50/2_4,50,1,0,0.023
50/2_4,50,2,0,0.0411
50/2_4,50,3,0,0.2134
50/2_4,50,4,0,0.281
50/3_4,50,1,0,0.024
50/3_4,50,2,0,0.0398
50/3_4,50,3,0,0.181
50/3_4,50,4,0,0.267
50/4_4,50,1,0,0.0186
50/4_4,50,2,0,0.0359
50/4_4,50,3,0,0.1769
50/4_4,50,4,0,0.289
50/5_4,50,1,0,0.0189
50/5_4,50,2,0,0.0368
50/5_4,50,3,0,0.1639
50/5_4,50,4,0,0.242
50/6_4,50,1,0,0.0226
50/6_4,50,2,0,0.0413
50/7_4,50,1,0,0.0257
50/7_4,50,2,0,0.0369
50/7_4,50,3,0,0.1886
50/7_4,50,4,0,0.28
50/8_4,50,1,0,0.0229
50/8_4,50,2,0,0.0358
50/8_4,50,3,0,0.1985
50/8_4,50,4,0,0.306
50/9_4,50,1,0,0.0211
50/9_4,50,2,0,0.0467
50/9_4,50,3,0,0.1982
50/9_4,50,4,0,0.273
50/10_4,50,1,0,0.03
50/10_4,50,2,0,0.0452
50/10_4,50,3,0,0.19
50/10_4,50,4,0,0.326
100/1_1,100,1,1,0.024
100/2_1,100,1,0,0.027
100/2_1,100,2,0,0.154
100/2_1,100,3,0,0.295
100/2_1,100,4,0,0.353
100/3_1,100,1,0,0.025
100/3_1,100,2,0,0.17
100/3_1,100,3,0,0.296
100/3_1,100,4,0,0.361
100/4_1,100,1,0,0.027
100/4_1,100,2,0,0.183
100/4_1,100,3,0,0.297
100/4_1,100,4,0,0.345
100/5_1,100,1,1,0.029
100/6_1,100,1,0,0.029
100/7_1,100,1,0,0.03
100/7_1,100,2,0,0.163
100/7_1,100,3,0,0.303
100/7_1,100,4,0,0.372
100/8_1,100,1,0,0.031
100/8_1,100,2,0,0.17
100/8_1,100,3,0,0.331
100/8_1,100,4,0,0.389
100/9_1,100,1,0,0.03
100/9_1,100,2,0,0.202
100/9_1,100,3,0,0.35
100/9_1,100,4,0,0.4
100/10_1,100,1,1,0.027
100/10_1,100,2,1,0.152
100/10_1,100,3,1,0.322
100/10_1,100,4,1,0.401
100/1_2,100,1,0,0.037
100/1_2,100,2,0,0.095
100/1_2,100,3,0,0.246
100/1_2,100,4,0,0.319
100/2_2,100,1,0,0.042
100/2_2,100,2,0,0.156
100/2_2,100,3,0,0.303
100/2_2,100,4,0,0.358
100/3_2,100,1,0,0.032
100/3_2,100,2,0,0.15
100/3_2,100,3,0,0.3
100/3_2,100,4,0,0.344
100/4_2,100,1,0,0.037
100/4_2,100,2,0,0.152
100/4_2,100,3,0,0.28
100/4_2,100,4,0,0.297
100/5_2,100,1,0,0.031
100/5_2,100,2,0,0.16
100/5_2,100,3,0,0.289
100/5_2,100,4,0,0.285
100/6_2,100,1,0,0.043
100/6_2,100,2,0,0.161
100/6_2,100,3,0,0.283
100/6_2,100,4,0,0.329
100/7_2,100,1,0,0.042
100/7_2,100,2,0,0.141
100/7_2,100,3,0,0.281
100/7_2,100,4,0,0.304
100/8_2,100,1,0,0.035
100/8_2,100,2,0,0.113
100/8_2,100,3,0,0.258
100/8_2,100,4,0,0.327
100/9_2,100,1,0,0.035
100/9_2,100,2,0,0.131
100/9_2,100,3,0,0.267
100/9_2,100,4,0,0.312
100/10_2,100,1,0,0.032
100/10_2,100,2,0,0.134
100/10_2,100,3,0,0.284
100/10_2,100,4,0,0.324
100/1_3,100,1,0,0.0277
100/1_3,100,2,0,0.0871
100/1_3,100,3,0,0.237
100/1_3,100,4,0,0.295
100/2_3,100,1,0,0.0322
100/2_3,100,2,0,0.1068
100/2_3,100,3,0,0.2932
100/3_3,100,1,0,0.0268
100/3_3,100,2,0,0.0963
100/3_3,100,3,0,0.2519
100/4_3,100,1,0,0.028
100/4_3,100,2,0,0.1049
100/4_3,100,3,0,0.28
100/5_3,100,1,0,0.0314
100/5_3,100,2,0,0.1008
100/5_3,100,3,0,0.2597
100/6_3,100,1,0,0.031
100/6_3,100,2,0,0.112
100/6_3,100,3,0,0.2909
100/6_3,100,4,0,0.3012
100/7_3,100,1,0,0.0316
100/7_3,100,2,0,0.114
100/7_3,100,3,0,0.2761
100/8_3,100,1,0,0.0374
100/8_3,100,2,0,0.1028
100/8_3,100,3,0,0.2751
100/9_3,100,1,0,0.0301
100/9_3,100,2,0,0.1063
100/9_3,100,3,0,0.2859
100/10_3,100,1,0,0.0256
100/10_3,100,2,0,0.0948
100/10_3,100,3,0,0.2719
100/1_4,100,1,0,0.0225
100/1_4,100,2,0,0.0398
100/1_4,100,3,0,0.197
100/1_4,100,4,0,0.305
100/2_4,100,1,0,0.0284
100/2_4,100,2,0,0.046
100/2_4,100,3,0,0.1823
100/2_4,100,4,0,0.293
100/3_4,100,1,0,0.0299
100/3_4,100,2,0,0.0455
100/3_4,100,3,0,0.2133
100/3_4,100,4,0,0.308
100/4_4,100,1,0,0.0186
100/4_4,100,2,0,0.0363
100/4_4,100,3,0,0.175
100/5_4,100,1,0,0.0186
100/5_4,100,2,0,0.0342
100/5_4,100,3,0,0.1614
100/5_4,100,4,0,0.235
100/6_4,100,1,0,0.0224
100/6_4,100,2,0,0.0466
100/6_4,100,3,0,0.185
100/6_4,100,4,0,0.309
100/7_4,100,1,0,0.0212
100/7_4,100,2,0,0.0383
100/7_4,100,3,0,0.17
100/7_4,100,4,0,0.25
100/8_4,100,1,1,0.0241
100/8_4,100,2,1,0.0515
100/8_4,100,3,1,0.192
100/9_4,100,1,1,0.0194
100/9_4,100,2,1,0.0454
100/9_4,100,3,1,0.1837
100/9_4,100,4,1,0.247
100/10_4,100,1,0,0.0204
100/10_4,100,2,0,0.0402
100/10_4,100,3,0,0.171
100/10_4,100,4,0,0.266
500/1_1,500,1,0,0.028
500/2_1,500,1,0,0.027
500/3_1,500,1,1,0.026
500/3_1,500,2,1,0.125
500/3_1,500,3,1,0.302
500/3_1,500,4,1,0.373
500/4_1,500,1,0,0.025
500/5_1,500,1,0,0.029
500/6_1,500,1,0,0.031
500/7_1,500,1,1,0.031
500/7_1,500,2,1,0.181
500/7_1,500,3,1,0.307
500/7_1,500,4,1,0.351
500/8_1,500,1,0,0.026
500/9_1,500,1,0,0.032
500/10_1,500,1,0,0.022
500/1_2,500,1,0,0.032
500/2_2,500,1,0,0.038
500/2_2,500,2,0,0.138
500/2_2,500,3,0,0.266
500/2_2,500,4,0,0.316
500/3_2,500,1,0,0.03
500/4_2,500,1,0,0.042
500/4_2,500,2,0,0.157
500/4_2,500,3,0,0.284
500/4_2,500,4,0,0.32
500/5_2,500,1,0,0.031
500/6_2,500,1,0,0.035
500/6_2,500,2,0,0.133
500/6_2,500,3,0,0.28
500/6_2,500,4,0,0.351
500/7_2,500,1,0,0.036
500/8_2,500,1,0,0.036
500/9_2,500,1,0,0.043
500/9_2,500,2,0,0.148
500/9_2,500,3,0,0.288
500/9_2,500,4,0,0.332
500/10_2,500,1,0,0.041
500/10_2,500,2,0,0.139
500/10_2,500,3,0,0.294
500/10_2,500,4,0,0.347
500/1_3,500,1,0,0.0313
500/1_3,500,2,0,0.0485
500/1_3,500,3,0,0.202
500/1_3,500,4,0,0.349
500/2_3,500,1,0,0.0387
500/3_3,500,1,0,0.0337
500/3_3,500,2,0,0.1071
500/3_3,500,3,0,0.2782
500/3_3,500,4,0,0.244
500/4_3,500,1,0,0.0273
500/5_3,500,1,0,0.0382
500/6_3,500,1,0,0.0365
500/7_3,500,1,0,0.0371
500/8_3,500,1,0,0.0335
500/8_3,500,2,0,0.0942
500/8_3,500,3,0,0.2716
500/8_3,500,4,0,0.321
500/9_3,500,1,0,0.0287
500/10_3,500,1,0,0.0351
500/1_4,500,1,0,0.019
500/1_4,500,2,0,0.0323
